id,mileage,customer_id,dealership_id,interior_condition,powertrain,vehicle_type,structural_damage,exterior_condition,windshield,tires_status,tires_needs_new,tires_brand,wheels_alloy,wheels_size,wheels_condition,year,style,trans,engine,drivetrain,division,base_price,tires,seats,paint,color,interior_color,seconds_in_disposition,transports_count,bought_price,costs,profit
5349,49700,32,27,2,2,In-Stock Trade,1,1,1,1,0,Nexen,0,18,2,2012,5dr Wgn Auto !,Automatic,2.0L 4 Cylinder Engine Gasoline Fuel,Front Wheel Drive,Kia,18700,0,Leather,0,Bright Silver Metallic,Sand/Black Seat Trim,862627,2,10500,545,bad
5311,32517,386,191,2,2,Live-Trade,1,2,2,2,4,Other,0,19,2,2009,2dr Roadster sDrive35i,6 Speed Manual Transmission,3.0L Straight 6 Cylinder Engine Gasoline Fuel,Rear Wheel Drive,BMW,47520,0,"Beige, Extended Kansas Leather",0,Alpine White,Beige,173864,0,23500,0,average
5254,12828,386,191,2,2,Front-Line,1,2,2,0,0,Michelin,0,16,2,2014,4dr Sdn CVT S (Natl),Automatic,1.8L 4 Cylinder Engine Gasoline Fuel,Front Wheel Drive,Toyota,17592,0,"Amber/Black, Sport Fabric Seat Trim",0,Black Sand Mica,Amber/Black,79259,0,14000,0,average
5232,148265,382,159,0,2,Live-Trade,1,1,2,2,2,Other,0,16,0,2004,4dr Sdn,Automatic,3.3l V6 Cylinder Engine Gasoline Fuel,Front Wheel Drive,Lexus,28130,0,Leather Trim,Standard Paint,Blue Onyx Pearl,Ivory,1277908,1,3500,210,average
5225,66027,382,159,2,2,Live-Trade,1,1,2,2,0,Other,0,17,0,2011,4dr Sdn CVT FrontTrak 2.0T Premium Plus,Automatic,2.0l 4 Cylinder Engine Gasoline Fuel,Front Wheel Drive,Audi,30040,0,"Black, Leather Seating Surfaces",0,Ice Silver Metallic,Light Gray,1890811,1,14700,225,bad
5107,148891,382,159,0,1,Live-Trade,1,0,2,2,2,Goodyear,0,18,1,2005,4dr Sdn V6 Auto 3.5 SE,Automatic,3.5l V6 Cylinder Engine Gasoline Fuel,Front Wheel Drive,Nissan,25146,0,Cloth,0,Smoke Metallic,Frost,231522,1,1000,210,average
5409,227302,382,159,1,2,Live-Trade,1,0,2,1,2,Primewell,0,16,1,1999,4dr Van SE,Automatic,3.3L V6 Cylinder Engine Gasoline Fuel,Front Wheel Drive,Nissan,21478,0,Cloth,0,Evergreen Dusk Metallic,Slate,231325,1,375,210,bad
5410,116070,382,159,1,2,Live-Trade,1,1,2,2,0,Sumitomo,0,17,1,2006,4dr SUV AT Touring,Automatic,3.5L V6 Cylinder Engine Gasoline Fuel,Four Wheel Drive,Acura,36002,0,Leather,Standard Paint,Aspen White Pearl,Saddle/black,626735,1,7500,210,bad
5411,159704,382,159,0,2,Live-Trade,1,0,1,1,0,BFGoodrich,0,16,0,2002,LX 2WD Auto V6,Automatic,2.7L V6 Cylinder Engine Gasoline Fuel,Front Wheel Drive,Hyundai,20336,0,Cloth,Standard Paint,Sandstone,Beige,230997,1,700,210,average
5297,125876,377,159,0,2,Live-Trade,1,1,1,2,0,Goodyear,0,16,1,2001,4dr Sdn GLE Auto,4 Speed Electronically Controlled Automatic Transmission W/od,3.0l V6 Cylinder Engine Gasoline Fuel,Front Wheel Drive,Nissan,23769,0,Leather,Standard Paint,Sunlit Sand Metallic,Frost,230976,1,1150,210,good
5243,16047,386,191,2,2,Front-Line,1,2,2,0,0,Michelin,0,16,2,2014,2014.5 4dr Sdn I4 Auto LE (Natl),Automatic,2.5L 4 Cylinder Engine Gasoline Fuel,Front Wheel Drive,Toyota,20926,0,"Ash, Fabric Seat Trim",0,Super White,Ash,1051300,1,12900,475,good
5184,43606,386,191,2,2,Front-Line CPO,1,2,2,1,0,Toyo,0,10,2,2013,FWD 4dr V6  Limited (Natl),Automatic,3.5L V6 Cylinder Engine Gasoline Fuel,Front Wheel Drive,Toyota,34649,0,"Black, Leather Seat Trim",0,Blizzard Pearl,Black,1312963,1,27200,85,average
5195,12791,382,159,2,2,Live-Trade,1,2,2,1,0,Hankook,0,18,2,2015,4dr Sdn V6 3.8L RWD,Automatic,3.8l V6 Cylinder Engine Gasoline Fuel,Rear Wheel Drive,Hyundai,35659,0,"Beige, Leather Seating Surfaces",0,Casablanca White,Beige,1057862,1,30500,125,average
5154,107760,382,159,2,2,Live-Trade,1,1,2,1,0,Other,0,17,1,2008,2dr Conv V6 Auto SLE (Natl),Automatic,3.3l V6 Cylinder Engine Gasoline Fuel,Front Wheel Drive,Toyota,27946,0,Leather Seat Trim,0,Classic Silver Metallic,Dark Stone,4590497,1,9000,233,bad
5339,45391,382,159,1,2,Live-Trade,1,1,2,2,0,Other,0,19,1,2007,4dr Wgn Limited AWD,6 Speed Automatic Transmission,4.0 L Sohc V6 Engine,All Wheel Drive,Chrysler,32704,P235/55 R19 All Season Performance Bsw Tires,Luxury Leather Trimmed 1 St & 2 Nd Row Seats,Paint,Marine Blue Pearl,Pastel Slate Gray,1047025,1,6500,125,average
5416,10030,32,27,2,2,In-Stock Trade,1,1,2,1,2,Pirelli,0,22,0,2015,4WD 4dr Platinum,Transmission: 6 Speed Automatic W/Selectshift,Engine: 3.5 L V6 Ecoboost,Four Wheel Drive,Ford,60669,0,"Ebony, Heated & Cooled Perforated Leather Fr Bucket Seats",0,Tuxedo Black Metallic,Ebony,96970,1,51000,250,good
5447,1513,433,215,2,2,Live-Trade,1,2,2,0,0,Michelin,0,18,2,2015,FWD 4dr Base,"Transmission, 6 Speed Automatic, Fwd, 6 T70","Engine, 3.6 L Sidi Dohc V6 Vvt",Front Wheel Drive,Cadillac,35536,0,"Ebony W/Ebony Accents, Leatherette Seating Surfaces",0,Silver Coast Metallic,Ebony W/Ebony Accents,1041908,1,30000,165,average
5309,54989,403,197,2,2,Front-Line,1,2,2,1,0,Uniroyal,0,16,2,2012,2WD 5dr EX,Automatic,2.4L 4 Cylinder Engine Gasoline Fuel,Front Wheel Drive,Honda,23098,0,Cloth,0,Alabaster Silver Metallic,Gray,672538,1,13600,90,good
5459,11651,397,189,2,2,Live-Trade,1,1,2,2,2,Continental Tire,0,18,1,2015,4dr Wgn T5 Drive-E Premier Plus FWD,Automatic,2.0L 4 Cylinder Engine Gasoline Fuel,Front Wheel Drive,Volvo,35579,0,"Soft Beige, Leather Seating Surfaces",0,Seashell Metallic,Soft Beige,69973,0,23500,0,average
5325,32418,441,187,2,2,Front-Line CPO,1,2,2,1,0,Yokohama,0,17,2,2013,FWD 4dr XLE (Natl),Automatic,2.5L 4 Cylinder Engine Gasoline Fuel,Front Wheel Drive,Toyota,22712,0,"Ash, Cloth Seat Trim",0,Shoreline Blue Pearl,Ash,2787110,1,16400,170,bad
5322,37839,441,187,2,2,Front-Line,1,2,2,1,0,Michelin,0,18,2,2011,2dr Roadster SLK350,Automatic,3.5L V6 Cylinder Engine Gasoline Fuel,Rear Wheel Drive,Mercedes-Benz,0,0,"Ash, Leather Seat Trim",0,Steel Grey Metallic,Ash,260509,1,23500,85,average
